feature,selectkbest_fscore,rf_importance,rfe_rank,selectkbest_top8,rfe_selected
lower_wick,18.42211175,0.106623878,1,1,1
vol_chg,1.485170176,0.104708501,7,0,0
ma_gap_20,6.302124019,0.100057195,1,1,1
vol_ratio_20,1.418087095,0.098947523,8,0,0
ret_1,1.65896318,0.085976008,1,0,1
upper_wick,9.718988503,0.083336021,1,1,1
co_ret,1.728717726,0.070289065,1,1,1
range_pct,0.840656855,0.066112917,1,0,1
ret_2,1.576171499,0.046312282,5,0,0
vol_10,0.151984081,0.045791085,3,0,0
ret_5,2.657280321,0.043061433,1,1,1
vol_20,0.475079287,0.040094416,2,0,0
ret_4,3.57462624,0.037852613,1,1,1
ma_gap_10,4.692295774,0.036688341,6,1,0
ret_3,3.041269496,0.034148723,4,1,0
