feature,selectkbest_fscore,rf_importance,rfe_rank,selectkbest_top8,rfe_selected
Target_Return_7d,11490.57130232999,1.0,1,1,1
ma_gap_20,20.131369177188187,0.0,1,1,1
ma_gap_10,12.223216849723864,0.0,1,1,1
ret_5,7.1224929964665415,0.0,7,1,0
ret_4,6.93493608635363,0.0,5,1,0
ret_3,5.2702383008177005,0.0,6,1,0
ret_2,4.796421999222404,0.0,4,1,0
vol_10,3.9691776195284403,0.0,1,1,1
vol_20,2.086870882314537,0.0,1,0,1
vol_chg,1.9160573411909576,0.0,8,0,0
co_ret,1.7919618949122673,0.0,2,0,0
ret_1,1.515845115948621,0.0,1,0,1
vol_ratio_20,0.4718657462824682,0.0,9,0,0
range_pct,0.2607741817675442,0.0,3,0,0
Future_Close_7d,0.11854959497925534,0.0,10,0,0
lower_wick,0.07667386879702079,0.0,1,0,1
upper_wick,0.016873422830241742,0.0,1,0,1
